filename	label	sex	speaker	duration	condition	fold
Ses01F_script01_3_F000	N	F	Ses01F	4.1	script	1
Ses01F_script01_3_F001	N	F	Ses01F	4.7	script	1
Ses01F_script01_3_F002	N	F	Ses01F	9.0	script	1
Ses01F_script01_3_F003	N	F	Ses01F	7.8	script	1
Ses01F_script01_3_F004	N	F	Ses01F	3.3	script	1
Ses01F_script01_3_F005	N	F	Ses01F	4.5	script	1
Ses01F_script01_3_F006	N	F	Ses01F	4.9	script	1
Ses01F_script01_3_F007	N	F	Ses01F	2.9	script	1
Ses01F_script01_3_F008	N	F	Ses01F	6.3	script	1
Ses01F_script01_3_F009	N	F	Ses01F	7.1	script	1
Ses01F_script01_3_F010	H	F	Ses01F	1.4	script	1
Ses01F_script01_3_F011	H	F	Ses01F	2.8	script	1
Ses01F_script01_3_F012	H	F	Ses01F	5.1	script	1
Ses01F_script01_3_F013	H	F	Ses01F	1.8	script	1
Ses01F_script01_3_F014	N	F	Ses01F	4.9	script	1
Ses01F_script01_3_F015	N	F	Ses01F	3.6	script	1
Ses01F_script01_3_F016	N	F	Ses01F	3.0	script	1
Ses01F_script01_3_F017	H	F	Ses01F	2.2	script	1
Ses01F_script01_3_F019	H	F	Ses01F	2.8	script	1
Ses01F_script01_3_F020	H	F	Ses01F	7.5	script	1
Ses01F_script01_3_F021	H	F	Ses01F	2.8	script	1
Ses01F_script01_3_F022	N	F	Ses01F	5.4	script	1
Ses01F_script01_3_F028	N	F	Ses01F	2.5	script	1
Ses01F_script01_3_F029	N	F	Ses01F	2.2	script	1
Ses01F_script01_3_F030	S	F	Ses01F	2.6	script	1
Ses01F_script01_3_F031	N	F	Ses01F	1.6	script	1
Ses01F_script01_3_F035	H	F	Ses01F	3.5	script	1
Ses01F_script01_3_M000	N	M	Ses01M	4.6	script	1
Ses01F_script01_3_M001	N	M	Ses01M	2.8	script	1
Ses01F_script01_3_M003	N	M	Ses01M	2.3	script	1
Ses01F_script01_3_M004	N	M	Ses01M	2.3	script	1
Ses01F_script01_3_M005	N	M	Ses01M	9.3	script	1
Ses01F_script01_3_M008	H	M	Ses01M	7.5	script	1
Ses01F_script01_3_M009	H	M	Ses01M	8.4	script	1
Ses01F_script01_3_M010	H	M	Ses01M	11.3	script	1
Ses01F_script01_3_M015	H	M	Ses01M	3.0	script	1
Ses01F_script01_3_M016	H	M	Ses01M	1.9	script	1
Ses01F_script01_3_M017	H	M	Ses01M	2.1	script	1
Ses01F_script01_3_M019	H	M	Ses01M	5.6	script	1
Ses01F_script01_3_M020	H	M	Ses01M	2.3	script	1
Ses01F_script01_3_M021	S	M	Ses01M	3.6	script	1
Ses01F_script01_3_M022	S	M	Ses01M	2.8	script	1
Ses01F_script01_3_M023	S	M	Ses01M	7.6	script	1
Ses01F_script01_3_M024	S	M	Ses01M	3.7	script	1
