filename	label	sex	speaker	domain	fold
MSP-IMPROV-S01A-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01H-M01-R-MM01	H	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01N-M01-R-MM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01N-M01-R-MM02	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S01S-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02A-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02H-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02N-M01-R-MM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02N-M01-R-MM02	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S02S-M01-R-MM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S03A-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S03N-M01-R-MM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S03N-M01-R-MM02	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S03S-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S04A-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S04H-M01-R-MM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S04N-M01-R-MM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S04N-M01-R-MM02	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S05A-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S05H-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S05N-M01-R-MM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S05N-M01-R-MM02	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S06A-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S06A-M01-R-MM02	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S06H-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S06H-M01-R-MM02	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S06N-M01-R-MM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S06S-M01-R-MM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S07A-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S07A-M01-R-MM02	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S07H-M01-R-MM01	H	M	01M	MSP-IMPROV	1
MSP-IMPROV-S07H-M01-R-MM02	H	M	01M	MSP-IMPROV	1
MSP-IMPROV-S07N-M01-R-MM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S07S-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S07S-M01-R-MM02	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S08A-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S08A-M01-R-MM02	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S08H-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S08H-M01-R-MM02	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S08N-M01-R-MM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S08S-M01-R-MM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S09A-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S09A-M01-R-MM02	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S09H-M01-R-MM01	H	M	01M	MSP-IMPROV	1
MSP-IMPROV-S09H-M01-R-MM02	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S09N-M01-R-MM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S09S-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S09S-M01-R-MM02	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S10A-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S10A-M01-R-MM02	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S10H-M01-R-MM02	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S10N-M01-R-MM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S10S-M01-R-MM01	S	M	01M	MSP-IMPROV	1
MSP-IMPROV-S11A-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S11H-M01-R-MM01	H	M	01M	MSP-IMPROV	1
MSP-IMPROV-S11N-M01-R-MM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S11S-M01-R-MM01	S	M	01M	MSP-IMPROV	1
MSP-IMPROV-S12A-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S12H-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S12N-M01-R-MM01	N	M	01M	MSP-IMPROV	1
MSP-IMPROV-S12S-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S13A-M01-R-MM01	A	M	01M	MSP-IMPROV	1
MSP-IMPROV-S13H-M01-R-MM01	A	M	01M	MSP-IMPROV	1
